File_name,Fish_ID,Common_Name,Species_Code,Family,Genus,Species,Date,Source_River,Imaging_Latitude,Imaging_Longitude,Fork_Length,Girth,Weight,Personnel,Comments,
CVR-1418.6.1556-US41602-Color-10-23,23,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,465,265,1.42,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-24,24,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,440,240,1.12,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-25,25,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,470,290,1.48,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-26,26,common carp,CC,Cyprinidae,Cyprinus,carpio,1-Apr-19,Tittabawassee,43.57,-84.195,502,380,2.44,"BA, BB, CW, SM",check image for ID,
CVR-1418.6.1556-US41602-Color-10-27,27,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,483,310,1.6,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-28,28,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,511,305,1.6,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-29,29,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,512,320,1.54,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-30,30,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,553,315,2.04,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-31,31,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,487,290,1.3,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-32,32,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,456,220,0.92,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-33,33,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,574,360,2.36,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-34,34,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,455,255,1.08,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-35,35,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,474,265,1.06,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-36,36,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,429,255,0.98,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-37,37,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,500,320,1.34,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-38,38,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,490,310,1.46,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-39,39,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,457,235,1.02,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-40,40,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,431,285,1.2,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-41,41,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,441,220,0.88,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-42,42,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,504,295,1.46,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-43,43,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,370,215,0.7,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-44,44,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,483,320,1.7,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-45,45,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,485,300,1.7,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-46,46,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,392,225,0.82,"BA, BB, CW, SM",deformed big hump near dorsal,
CVR-1418.6.1556-US41602-Color-10-47,47,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,350,260,0.82,"BA, BB, CW, SM",deformed big hump near dorsal,
CVR-1418.6.1556-US41602-Color-10-48,48,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,554,315,1.8,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-49,49,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,440,250,1,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-50,50,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,536,280,1.62,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-51,51,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,570,370,2.45,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-52,52,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,510,317,1.62,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-53,53,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,429,235,0.9,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-54,54,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,452,270,1.1,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-55,55,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,426,235,0.88,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-56,56,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,486,305,1.42,"BA, BB, CW, SM",nose growth,
CVR-1418.6.1556-US41602-Color-10-57,57,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,476,280,1.5,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-58,58,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,540,270,1.52,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-59,59,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,450,235,0.98,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-60,60,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,450,240,0.94,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-61,61,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,350,180,0.4,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-62,62,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,403,210,0.64,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-63,63,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,570,315,1.9,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-64,64,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,423,315,1.74,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-65,65,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,445,265,1.08,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-66,66,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,183,250,0.5,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-67,67,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,493,290,1.5,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-68,68,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,570,350,2.3,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-69,69,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,465,240,1.51,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-70,70,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,495,285,2.51,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-71,71,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,482,265,1.81,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-72,72,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,2.05,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-73,73,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.95,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-74,74,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,2.75,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-75,75,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.95,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-76,76,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,480,270,1.41,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-77,77,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,375,235,0.64,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-78,78,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.62,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-79,79,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,572,330,2.25,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-80,80,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.62,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-81,81,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.6,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-82,82,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,537,320,1.86,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-83,83,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,580,345,2.3,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-84,84,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.2,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-85,85,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,0.9,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-86,86,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,0.76,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-87,87,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,406,215,0.84,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-88,88,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,408,220,0.64,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-89,89,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,0.74,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-90,90,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,0.64,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-91,91,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,0.7,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-92,92,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.02,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-93,93,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,563,310,2.04,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-94,94,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.24,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-95,95,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,0.92,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-96,96,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,0.96,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-97,97,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,572,365,2.36,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-98,98,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,601,340,2.66,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-99,99,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,513,250,1.34,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-100,100,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.3,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-101,101,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.46,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-102,102,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.18,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-103,103,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,0.82,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-104,104,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,580,385,2.8,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-105,105,smallmouth bass,SMB,Centrarchidae,Micropterus,dolomieu,1-Apr-19,Tittabawassee,43.57,-84.195,396,265,0.96,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-106,106,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.46,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-107,107,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.78,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-108,108,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,540,360,2.46,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-109,109,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,1.82,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-110,110,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-111,111,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-112,112,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-113,113,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-114,114,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-115,115,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-116,116,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-117,117,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-118,118,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,473,285,1.44,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-119,119,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,463,270,1.2,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-120,120,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-121,121,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-122,122,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-123,123,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-124,124,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-125,125,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-126,126,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-127,127,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-128,128,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-129,129,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-130,130,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,422,260,1.16,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-131,131,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-132,132,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-133,133,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-134,134,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-135,135,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-136,136,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-137,137,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-138,138,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,440,250,1.12,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-139,139,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-140,140,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-141,141,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-142,142,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-143,143,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-144,144,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-145,145,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-146,146,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-147,147,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-148,148,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-149,149,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-150,150,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-151,151,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-152,152,common white sucker,CWS,Catostomidae,Catostomus,commersoni,1-Apr-19,Tittabawassee,43.57,-84.195,438,320,1.46,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-153,153,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-154,154,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",,
